text,label_criterion,label_metric,score,label,criterion_label
The institution conducts regular faculty development programs.,2,2.4.3,,2 - 2.4.3,Criterion 2
The college has adopted a policy for e-waste management.,7,7.1.7,,7 - 7.1.7,Criterion 7
A mentor-mentee system exists to support student development.,5,5.1.3,,5 - 5.1.3,Criterion 5
Workshops and seminars are organized to enhance learning.,3,3.3.3,,3 - 3.3.3,Criterion 3
The college has allocated increased budget for research.,3,3.2.1,,3 - 3.2.1,Criterion 3
A rainwater harvesting system is installed in the campus.,7,7.1.4,,7 - 7.1.4,Criterion 7
Students take part in national-level coding contests.,5,5.3.3,,5 - 5.3.3,Criterion 5
Regular feedback is taken from students and stakeholders.,1,1.4.1,,1 - 1.4.1,Criterion 1
More than 90% of students pass final university exams.,2,2.6.2,90.0,2 - 2.6.2,Criterion 2
Smart classrooms are available for interactive learning.,4,4.3.1,,4 - 4.3.1,Criterion 4
Faculty are encouraged to enroll in MOOCs and NPTEL courses.,2,2.4.2,,2 - 2.4.2,Criterion 2
The institution has signed MoUs with foreign universities.,3,3.5.2,,3 - 3.5.2,Criterion 3
Students have remote access to e-journals and e-books.,4,4.2.2,,4 - 4.2.2,Criterion 4
Career counseling sessions are held every semester.,5,5.1.2,,5 - 5.1.2,Criterion 5
Soft skills and personality development are taught to students.,5,5.2.2,,5 - 5.2.2,Criterion 5
Parents are invited for interaction twice annually.,6,6.3.4,,6 - 6.3.4,Criterion 6
The institution has adopted LED lighting campus-wide.,7,7.1.3,,7 - 7.1.3,Criterion 7
The academic calendar is strictly followed.,6,6.2.1,,6 - 6.2.1,Criterion 6
Ethics and human values are part of the curriculum.,1,1.3.3,,1 - 1.3.3,Criterion 1
Staff attendance is recorded using biometric systems.,6,6.3.2,,6 - 6.3.2,Criterion 6
Library has digital access to INFLIBNET resources.,4,4.2.2,,4 - 4.2.2,Criterion 4
Students receive orientation about the examination system.,2,2.6.1,,2 - 2.6.1,Criterion 2
Alumni contribute towards institutional development.,5,5.3.2,,5 - 5.3.2,Criterion 5
The institution has a green campus initiative.,7,7.1.1,,7 - 7.1.1,Criterion 7
Each department has at least one funded research project.,3,3.1.2,,3 - 3.1.2,Criterion 3
Internal academic audits are conducted annually.,6,6.5.3,,6 - 6.5.3,Criterion 6
Students are offered internships with industries.,3,3.2.2,,3 - 3.2.2,Criterion 3
